Circolo;name;par;neroCR;neroSlope;biancoCR;biancoSlope;gialloCR;gialloSlope;verdeCR;verdeSlope;bluCR;bluSlope;rossoCR;rossoSlope;arancioCR;arancioSlope
VILLA CONDULMER;9 buche Executive (Verde);29;;;;;29,9;111;28,9;107;;;29,7;101;;
VILLA CONDULMER;Blu/Verde;65;;;;;66,5;118;64,4;113;;;66,9;116;;
VILLA CONDULMER;executive 18;58;;;;;59,8;111;57,8;107;;;59,4;101;59,4;101
VILLA CONDULMER;Giallo/Verde;64;;;;;63,3;113;61,2;109;;;64,2;105;;
VILLA CONDULMER;Prime 9 (Giallo) 2 volte;70;;;67,8;117;66,8;115;64,5;110;69,8;112;68,9;110;66,2;104
VILLA CONDULMER;Prime Nove (Giallo);35;;;33,9;117;33,4;115;32,3;110;34,9;112;34,5;110;33,1;104
VILLA CONDULMER;Seconde Nove (Blu);36;;;37,1;126;36,6;124;35,5;119;37,6;132;37,1;130;35,8;124
VILLA D' ESTE;18 Buche;69;;;71;130;70;129;67,3;123;72,2;124;71,3;123;68;116
VILLA D' ESTE;18 buche 2019 provv;69;;;;;69;126;66,3;120;;;70,3;121;67;114
VILLA D' ESTE;18 Buche Campionato;69;;;71,5;131;70;129;67,3;123;72,2;124;71,3;123;68;116
VILLA D' ESTE;Prime Nove;34;;;;;34,5;122;33,1;116;;;35,3;125;33,6;117
VILLA D' ESTE;Seconde Nove;35;;;;;35,5;135;34,2;129;;;36,1;123;34,5;115
VILLA GIUSTI;18 Buche;65;;;;;63,3;105;61,6;102;;;65;112;65;112
VILLA GIUSTI;Prime Nove;31;;;;;29,7;101;29,2;99;;;30,2;103;;
VILLA GIUSTI;Seconde Nove;34;;;;;33,6;109;32,4;104;;;34,8;120;;
VOLTURNO;18 Buche;71;;;73;137;71,9;133;68,2;124;74,9;130;73,6;128;69,6;120
VOLTURNO;18 buche 2018;68;;;;;68,2;128;64,6;120;;;70,4;124;67;117
VOLTURNO;2 volte le Prime;70;;;;;71,6;140;67,7;131;;;73,6;132;69,8;124
VOLTURNO;2 Volte Seconde;72;;;;;72,2;125;68,6;117;;;73,6;123;69,5;114
VOLTURNO;9 buche 2018;34;;;;;34,1;128;32,3;120;;;35,2;124;33,5;117
VOLTURNO;9 buche misto 2017;36;;;36,3;138;35,8;135;33,8;130;37,8;130;37;126;35,2;122
VOLTURNO;La Piana;71;;;71,3;125;69,3;120;;;72,6;124;70,5;120;;
VOLTURNO;La Piana 1°nove;35;;;;;33,8;117;;;;;34,3;121;;
VOLTURNO;La Piana 2°nove;36;;;;;35,5;122;;;;;36,1;119;;
VOLTURNO;misto 2017;72;;;72,7;138;71,6;135;67,7;126;75,7;130;74;126;70,1;118
VOLTURNO;Prime Nove;35;;;;;35,8;140;;;;;36,8;132;;
VOLTURNO;Seconde Nove;36;;;;;36,1;125;;;;;36,8;123;;
ZERMAN;18 Buche;70;;;;;70,8;124;67,4;116;;;72,8;123;70,3;118
ZERMAN;Prime Nove;35;;;;;35,5;121;33,9;117;;;36,5;122;35,2;119
ZERMAN;Seconde Nove;35;;;;;35,3;127;33,6;119;;;36,3;124;;
ZOATE;18 Buche;72;;;71,5;146;70,5;144;68,3;139;73,3;139;72,2;137;69,8;132
ZOATE;Prime Nove;36;;;;;36,3;146;35,2;141;;;37,3;141;36,2;136
ZOATE;Seconde Nove;36;;;;;35,2;145;34,1;141;;;36;137;34,9;132
