Circolo;name;par;neroCR;neroSlope;biancoCR;biancoSlope;gialloCR;gialloSlope;verdeCR;verdeSlope;bluCR;bluSlope;rossoCR;rossoSlope;arancioCR;arancioSlope
CASTELCONTURBIA;Azzurro-Giallo;72;;;73,2;145;71,5;142;67,9;134;75,3;138;73,4;132;69,9;125
CASTELCONTURBIA;Azzurro-Rosso;72;;;74,5;143;73;139;69,2;130;76,5;139;74,1;134;70,6;127
CASTELCONTURBIA;Giallo-Rosso;72;;;74,1;146;72,6;143;69,1;135;76,2;136;74,3;134;71,5;128
CASTELFALFI;LAKE + Mountain Prime Nove;73;;;;;73,8;145;;;;;76,2;140;;
CASTELFALFI;LAKE + Mountain Seconde Nove;73;;;;;73,1;151;;;;;75,8;147;;
CASTELFALFI;LAKE 9 Buche;37;;;37,2;152;35,9;144;;;39,1;152;37,8;146;;
CASTELFALFI;Mountain 18 Buche;72;;;75,6;151;75,1;150;71,9;142;77,8;144;76,4;141;73,2;134
CASTELFALFI;Prime Nove Mountain;36;;;;;37,9;144;;;;;38,4;134;;
CASTELFALFI;Seconde Nove Mountain;36;;;;;37,2;155;;;;;38;148;;
CASTELGANDOLFO;Campionato;72;;;73,3;137;71,5;134;69,3;129;76,1;135;73,4;130;71;125
CASTELGANDOLFO;Prime Nove;36;;;36,4;140;35,6;138;34,5;133;38;134;36,7;130;35,4;125
CASTELGANDOLFO;PRIME NOVE X2;72;;;72,8;140;71,2;138;69,1;133;76;134;73,4;130;70,8;125
CASTELGANDOLFO;provv 2019;71;;;;;70;128;67,9;123;;;71,8;125;69,5;120
CASTELGANDOLFO;Seconde Nove;36;;;36,9;134;35,9;129;34,8;124;38,1;134;36,7;129;35,6;125
CASTELGANDOLFO;SECONDE NOVE X 2;72;;;73,8;134;71,7;129;69,6;124;76,2;134;73,4;129;71,2;125
CASTELLARO;18 Buche;66;;;;;65,8;115;63,8;110;;;67,3;116;67,3;116
CASTELLARO;Par 62;62;;;;;64,2;111;;;;;65,6;112;;
CASTELLARO;Prime 9(62);31;;;;;32,1;111;;;;;32,8;112;;
CASTELLARO;Prime Nove;33;;;;;32,9;115;31,9;110;;;33,7;116;;
CASTELLARO;Seconde 9(62);31;;;;;32,1;111;;;;;32,8;112;;
CASTELLARO;Seconde Nove;33;;;;;32,9;115;;;;;33,7;116;;
CASTELL'ARQUATO;18 Buche;73;;;;;71,8;124;68,7;117;;;72,9;129;69,9;123
CASTELL'ARQUATO;2 volte Seconde Nove;74;;;;;73,2;129;70;122;;;74,2;135;71,2;129
